ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises,S-Max. In-Plane Principal (Abs),S-Max. Principal (Abs)
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             1,   92.9585E-03,   110.328E-03,            0.,NA,NA,"",   1.41140E+06,   1.44412E+06,   1.44412E+06
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             2,   88.3641E-03,   104.567E-03,            0.,NA,NA,"",   447.075E+03,  -26.8221E+03,  -26.8221E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             3,   87.5349E-03,   100.934E-03,            0.,NA,NA,"",   427.730E+03,  -388.256E+03,  -388.256E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             4,   89.1747E-03,     93.75E-03,            0.,NA,NA,"",   752.792E+03,   448.294E+03,   448.294E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             5,   94.5765E-03,   88.7379E-03,            0.,NA,NA,"",   1.82901E+06,   1.89942E+06,   1.89942E+06
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             6,   101.863E-03,   87.6396E-03,            0.,NA,NA,"",   2.21927E+06,   2.30857E+06,   2.30857E+06
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             7,   105.424E-03,   88.7379E-03,            0.,NA,NA,"",   1.86151E+06,   1.91254E+06,   1.91254E+06
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             8,   110.825E-03,     93.75E-03,            0.,NA,NA,"",   601.792E+03,   199.558E+03,   199.558E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",             9,   112.465E-03,   100.934E-03,            0.,NA,NA,"",   494.088E+03,  -444.144E+03,  -444.144E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",            10,   109.773E-03,   107.794E-03,            0.,NA,NA,"",   839.993E+03,   792.254E+03,   792.254E+03
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",            11,   107.042E-03,   110.328E-03,            0.,NA,NA,"",   1.44078E+06,   1.47436E+06,   1.47436E+06
C:/temp/Job-3.odb,Step-1,Increment      1: Step Time =    1.000,"P-3-1",            12,   100.000E-03,   112.500E-03,            0.,NA,NA,"",   2.21622E+06,   2.33217E+06,   2.33217E+06
