ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises,S-Max. In-Plane Principal (Abs),S-Max. Principal (Abs)
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             1,   91.1612E-03,   108.839E-03,            0.,NA,NA,"",   1.20708E+06,   1.14402E+06,   1.14402E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             2,   87.5000E-03,   100.000E-03,            0.,NA,NA,"",   620.877E+03,   393.661E+03,   393.661E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             3,   91.1612E-03,   91.1612E-03,            0.,NA,NA,"",   1.18271E+06,   1.12068E+06,   1.12068E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             4,   100.000E-03,   87.5000E-03,            0.,NA,NA,"",   1.70514E+06,   1.79569E+06,   1.79569E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             5,   108.839E-03,   91.1612E-03,            0.,NA,NA,"",   1.16466E+06,   871.423E+03,   871.423E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             6,   112.500E-03,   100.000E-03,            0.,NA,NA,"",   603.956E+03,   37.9431E+03,   37.9431E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             7,   108.839E-03,   108.839E-03,            0.,NA,NA,"",   1.23733E+06,   1.17245E+06,   1.17245E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             8,   100.000E-03,   112.500E-03,            0.,NA,NA,"",   1.72667E+06,   1.81664E+06,   1.81664E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",             9,   200.000E-03,            0.,            0.,NA,NA,"",   999.972E+03,   999.931E+03,   999.931E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            10,            0.,            0.,            0.,NA,NA,"",   1.33922E+06,   1.40692E+06,   1.40692E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            11,   200.000E-03,   200.000E-03,            0.,NA,NA,"",   999.969E+03,   999.911E+03,   999.911E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            12,            0.,   200.000E-03,            0.,NA,NA,"",   1.33912E+06,   1.40656E+06,   1.40656E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            13,   190.000E-03,            0.,            0.,NA,NA,"",   999.796E+03,   999.745E+03,   999.745E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            14,   180.000E-03,            0.,            0.,NA,NA,"",   999.166E+03,   999.025E+03,   999.025E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            15,   170.000E-03,            0.,            0.,NA,NA,"",   997.499E+03,   997.197E+03,   997.197E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            16,   160.000E-03,            0.,            0.,NA,NA,"",   993.948E+03,   993.708E+03,   993.708E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            17,   150.000E-03,            0.,            0.,NA,NA,"",   988.277E+03,   987.861E+03,   987.861E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            18,   140.000E-03,            0.,            0.,NA,NA,"",   979.109E+03,   978.803E+03,   978.803E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            19,   130.000E-03,            0.,            0.,NA,NA,"",   967.276E+03,   967.350E+03,   967.350E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            20,   120.000E-03,            0.,            0.,NA,NA,"",   955.776E+03,   955.944E+03,   955.944E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            21,   110.000E-03,            0.,            0.,NA,NA,"",   946.177E+03,   946.696E+03,   946.696E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            22,   100.000E-03,            0.,            0.,NA,NA,"",   940.668E+03,   941.225E+03,   941.225E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            23,   90.0000E-03,            0.,            0.,NA,NA,"",   940.194E+03,   940.862E+03,   940.862E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            24,   80.0000E-03,            0.,            0.,NA,NA,"",   945.446E+03,   945.601E+03,   945.601E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            25,   70.0000E-03,            0.,            0.,NA,NA,"",   953.761E+03,   954.200E+03,   954.200E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            26,   60.0000E-03,            0.,            0.,NA,NA,"",   965.403E+03,   965.179E+03,   965.179E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            27,   50.0000E-03,            0.,            0.,NA,NA,"",   977.817E+03,   978.943E+03,   978.943E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            28,   40.0000E-03,            0.,            0.,NA,NA,"",   997.813E+03,   997.818E+03,   997.818E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            29,   30.0000E-03,            0.,            0.,NA,NA,"",   1.02569E+06,   1.03001E+06,   1.03001E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            30,   20.0000E-03,            0.,            0.,NA,NA,"",   1.08639E+06,   1.08807E+06,   1.08807E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            31,  10.00000E-03,            0.,            0.,NA,NA,"",   1.23683E+06,   1.26593E+06,   1.26593E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            32,   200.000E-03,   190.000E-03,            0.,NA,NA,"",   1.00008E+06,   999.960E+03,   999.960E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            33,   200.000E-03,   180.000E-03,            0.,NA,NA,"",   1.00045E+06,   1.00037E+06,   1.00037E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            34,   200.000E-03,   170.000E-03,            0.,NA,NA,"",   999.901E+03,   1.00050E+06,   1.00050E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            35,   200.000E-03,   160.000E-03,            0.,NA,NA,"",   998.521E+03,   1.00095E+06,   1.00095E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            36,   200.000E-03,   150.000E-03,            0.,NA,NA,"",   994.994E+03,   1.00082E+06,   1.00082E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            37,   200.000E-03,   140.000E-03,            0.,NA,NA,"",   989.792E+03,   1.00050E+06,   1.00050E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            38,   200.000E-03,   130.000E-03,            0.,NA,NA,"",   983.627E+03,   1.00022E+06,   1.00022E+06
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            39,   200.000E-03,   120.000E-03,            0.,NA,NA,"",   976.530E+03,   999.013E+03,   999.013E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            40,   200.000E-03,   110.000E-03,            0.,NA,NA,"",   972.002E+03,   998.844E+03,   998.844E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            41,   200.000E-03,   100.000E-03,            0.,NA,NA,"",   969.589E+03,   998.085E+03,   998.085E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            42,   200.000E-03,   90.0000E-03,            0.,NA,NA,"",   972.076E+03,   999.071E+03,   999.071E+03
C:/temp/Job-9.odb,Step-1,Increment      1: Step Time =    1.000,"P-9-1",            43,   200.000E-03,   80.0000E-03,            0.,NA,NA,"",   976.505E+03,   999.326E+03,   999.326E+03
