ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises,S-Max. In-Plane Principal (Abs),S-Max. Principal (Abs)
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             1,   91.1612E-03,   108.839E-03,            0.,NA,NA,"",   1.14872E+06,   1.11569E+06,   1.11569E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             2,   87.5000E-03,   100.000E-03,            0.,NA,NA,"",   626.334E+03,   461.183E+03,   461.183E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             3,   91.1612E-03,   91.1612E-03,            0.,NA,NA,"",   1.13337E+06,   1.06951E+06,   1.06951E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             4,   100.000E-03,   87.5000E-03,            0.,NA,NA,"",   1.49190E+06,   1.57759E+06,   1.57759E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             5,   108.839E-03,   91.1612E-03,            0.,NA,NA,"",   1.19771E+06,   1.13126E+06,   1.13126E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             6,   112.500E-03,   100.000E-03,            0.,NA,NA,"",   701.676E+03,   575.621E+03,   575.621E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             7,   108.839E-03,   108.839E-03,            0.,NA,NA,"",   1.28757E+06,   1.26701E+06,   1.26701E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             8,   100.000E-03,   112.500E-03,            0.,NA,NA,"",   1.61961E+06,   1.71280E+06,   1.71280E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",             9,   200.000E-03,            0.,            0.,NA,NA,"",   1.00039E+06,   1.00088E+06,   1.00088E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            10,            0.,            0.,            0.,NA,NA,"",   1.11308E+06,   1.17191E+06,   1.17191E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            11,   200.000E-03,   200.000E-03,            0.,NA,NA,"",   1.00092E+06,   1.00182E+06,   1.00182E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            12,            0.,   200.000E-03,            0.,NA,NA,"",   1.11392E+06,   1.17431E+06,   1.17431E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            13,   171.429E-03,            0.,            0.,NA,NA,"",   999.725E+03,   998.400E+03,   998.400E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            14,   142.857E-03,            0.,            0.,NA,NA,"",   987.620E+03,   986.020E+03,   986.020E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            15,   114.286E-03,            0.,            0.,NA,NA,"",   967.803E+03,   969.673E+03,   969.673E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            16,   85.7143E-03,            0.,            0.,NA,NA,"",   966.973E+03,   971.757E+03,   971.757E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            17,   57.1429E-03,            0.,            0.,NA,NA,"",   997.247E+03,   995.111E+03,   995.111E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            18,   28.5714E-03,            0.,            0.,NA,NA,"",   1.06653E+06,   1.09092E+06,   1.09092E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            19,   200.000E-03,   171.429E-03,            0.,NA,NA,"",   998.815E+03,   1.00149E+06,   1.00149E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            20,   200.000E-03,   142.857E-03,            0.,NA,NA,"",   993.367E+03,   1.00273E+06,   1.00273E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            21,   200.000E-03,   114.286E-03,            0.,NA,NA,"",   978.322E+03,   995.523E+03,   995.523E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            22,   200.000E-03,   85.7143E-03,            0.,NA,NA,"",   977.891E+03,   994.928E+03,   994.928E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            23,   200.000E-03,   57.1429E-03,            0.,NA,NA,"",   994.160E+03,   1.00309E+06,   1.00309E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            24,   200.000E-03,   28.5714E-03,            0.,NA,NA,"",   999.775E+03,   1.00198E+06,   1.00198E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            25,   28.5714E-03,   200.000E-03,            0.,NA,NA,"",   1.06397E+06,   1.08839E+06,   1.08839E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            26,   57.1429E-03,   200.000E-03,            0.,NA,NA,"",   989.083E+03,   987.348E+03,   987.348E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            27,   85.7143E-03,   200.000E-03,            0.,NA,NA,"",   963.541E+03,   968.167E+03,   968.167E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            28,   114.286E-03,   200.000E-03,            0.,NA,NA,"",   971.361E+03,   972.790E+03,   972.790E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            29,   142.857E-03,   200.000E-03,            0.,NA,NA,"",   990.708E+03,   989.308E+03,   989.308E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            30,   171.429E-03,   200.000E-03,            0.,NA,NA,"",   1.00128E+06,   999.482E+03,   999.482E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            31,            0.,   28.5714E-03,            0.,NA,NA,"",   1.00107E+06,   1.07497E+06,   1.07497E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            32,            0.,   57.1429E-03,            0.,NA,NA,"",   865.373E+03,   956.126E+03,   956.126E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            33,            0.,   85.7143E-03,            0.,NA,NA,"",   819.445E+03,   913.148E+03,   913.148E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            34,            0.,   114.286E-03,            0.,NA,NA,"",   820.197E+03,   913.464E+03,   913.464E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            35,            0.,   142.857E-03,            0.,NA,NA,"",   869.211E+03,   957.865E+03,   957.865E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            36,            0.,   171.429E-03,            0.,NA,NA,"",   1.00458E+06,   1.07759E+06,   1.07759E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            37,   107.505E-03,   119.722E-03,            0.,NA,NA,"",   1.42410E+06,   1.47357E+06,   1.47357E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            38,   118.691E-03,   116.379E-03,            0.,NA,NA,"",   1.18317E+06,   1.09456E+06,   1.09456E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            39,   109.122E-03,   77.1950E-03,            0.,NA,NA,"",   1.28495E+06,   1.32928E+06,   1.32928E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            40,   94.1233E-03,   76.0599E-03,            0.,NA,NA,"",   1.27902E+06,   1.32893E+06,   1.32893E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            41,   77.5385E-03,   89.7833E-03,            0.,NA,NA,"",   889.872E+03,   815.452E+03,   815.452E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            42,   75.5457E-03,   111.271E-03,            0.,NA,NA,"",   898.513E+03,   854.678E+03,   854.678E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            43,   124.563E-03,   91.9645E-03,            0.,NA,NA,"",   812.086E+03,   742.571E+03,   742.571E+03
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            44,   89.6762E-03,   125.892E-03,            0.,NA,NA,"",   1.23529E+06,   1.27039E+06,   1.27039E+06
C:/temp/Job-1.odb,Step-1,Increment      1: Step Time =    1.000,"P-1-1",            45,   100.226E-03,   123.231E-03,            0.,NA,NA,"",   1.35982E+06,   1.43868E+06,   1.43868E+06
