ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises,S-Max. In-Plane Principal (Abs),S-Max. Principal (Abs)
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             1,       90.1615,       126.215,            0.,NA,NA,"",   2.34412E+06,   2.39529E+06,   2.39529E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             2,       81.5777,       121.086,            0.,NA,NA,"",   1.19664E+06,   1.20421E+06,   1.20421E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             3,       73.3704,       108.652,            0.,NA,NA,"",   526.135E+03,  -510.844E+03,  -510.844E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             4,       72.0282,       98.7438,            0.,NA,NA,"",   702.739E+03,  -713.247E+03,  -713.247E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             5,       74.2532,       88.9953,            0.,NA,NA,"",   389.081E+03,  -125.529E+03,  -125.529E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             6,       79.7617,       80.6502,            0.,NA,NA,"",   879.260E+03,   876.787E+03,   876.787E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             7,       87.8513,       74.7729,            0.,NA,NA,"",   2.13074E+06,   2.17798E+06,   2.17798E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             8,       97.4901,       72.1127,            0.,NA,NA,"",   2.75390E+06,   2.84253E+06,   2.84253E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",             9,       112.149,       74.7729,            0.,NA,NA,"",   2.24220E+06,   2.29671E+06,   2.29671E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            10,       120.238,       80.6502,            0.,NA,NA,"",   1.13145E+06,   1.10582E+06,   1.10582E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            11,       125.747,       88.9953,            0.,NA,NA,"",   493.310E+03,  -443.067E+03,  -443.067E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            12,       127.972,       98.7438,            0.,NA,NA,"",   818.668E+03,  -834.693E+03,  -834.693E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            13,       126.630,       108.652,            0.,NA,NA,"",   622.575E+03,  -593.194E+03,  -593.194E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            14,       118.422,       121.086,            0.,NA,NA,"",   1.36918E+06,   1.38603E+06,   1.38603E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            15,       109.838,       126.215,            0.,NA,NA,"",   2.38803E+06,   2.46045E+06,   2.46045E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            16,          100.,          128.,            0.,NA,NA,"",   2.88723E+06,   2.96078E+06,   2.96078E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            17,          190.,            0.,            0.,NA,NA,"",   998.611E+03,   998.723E+03,   998.723E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            18,          180.,            0.,            0.,NA,NA,"",   999.190E+03,   999.271E+03,   999.271E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            19,          170.,            0.,            0.,NA,NA,"",   1.00110E+06,   1.00079E+06,   1.00079E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            20,          160.,            0.,            0.,NA,NA,"",   996.135E+03,   995.747E+03,   995.747E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            21,          150.,            0.,            0.,NA,NA,"",    977.23E+03,   976.821E+03,   976.821E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            22,          140.,            0.,            0.,NA,NA,"",   940.606E+03,   940.184E+03,   940.184E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            23,          130.,            0.,            0.,NA,NA,"",   893.814E+03,   893.595E+03,   893.595E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            24,          120.,            0.,            0.,NA,NA,"",   847.863E+03,   848.255E+03,   848.255E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            25,          110.,            0.,            0.,NA,NA,"",   818.758E+03,   819.799E+03,   819.799E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            26,          100.,            0.,            0.,NA,NA,"",   821.339E+03,   822.576E+03,   822.576E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            27,           90.,            0.,            0.,NA,NA,"",   861.191E+03,   861.959E+03,   861.959E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            28,           80.,            0.,            0.,NA,NA,"",   931.644E+03,   931.735E+03,   931.735E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            29,           70.,            0.,            0.,NA,NA,"",   1.01832E+06,   1.01818E+06,   1.01818E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            30,           60.,            0.,            0.,NA,NA,"",   1.10695E+06,   1.10706E+06,   1.10706E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            31,           50.,            0.,            0.,NA,NA,"",   1.18089E+06,   1.17881E+06,   1.17881E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            32,           40.,            0.,            0.,NA,NA,"",   1.23662E+06,   1.23616E+06,   1.23616E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            33,           30.,            0.,            0.,NA,NA,"",   1.28352E+06,   1.28367E+06,   1.28367E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            34,           20.,            0.,            0.,NA,NA,"",   1.34456E+06,   1.34508E+06,   1.34508E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            35,           10.,            0.,            0.,NA,NA,"",   1.48382E+06,   1.48638E+06,   1.48638E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            36,          200.,            0.,            0.,NA,NA,"",   999.860E+03,   999.721E+03,   999.721E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            37,            0.,            0.,            0.,NA,NA,"",   1.84419E+06,   1.93339E+06,   1.93339E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            38,          200.,          190.,            0.,NA,NA,"",   1.00096E+06,   1.00030E+06,   1.00030E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            39,          200.,          180.,            0.,NA,NA,"",   1.00021E+06,   1.00092E+06,   1.00092E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            40,          200.,          170.,            0.,NA,NA,"",   993.175E+03,   1.00168E+06,   1.00168E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            41,          200.,          160.,            0.,NA,NA,"",   975.944E+03,   1.00151E+06,   1.00151E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            42,          200.,          150.,            0.,NA,NA,"",   948.868E+03,   1.00123E+06,   1.00123E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            43,          200.,          140.,            0.,NA,NA,"",   916.839E+03,   1.00158E+06,   1.00158E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            44,          200.,          130.,            0.,NA,NA,"",   888.635E+03,   1.00110E+06,   1.00110E+06
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            45,          200.,          120.,            0.,NA,NA,"",   870.603E+03,   999.362E+03,   999.362E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            46,          200.,          110.,            0.,NA,NA,"",   864.127E+03,   997.502E+03,   997.502E+03
C:/temp/Job-7.odb,Step-1,Increment      1: Step Time =    1.000,"P-7-1",            47,          200.,          100.,            0.,NA,NA,"",   862.984E+03,   996.406E+03,   996.406E+03
